Title,Pembimbing,Keywords,NIM
Analisis dan Perancangan Arsitektur Sistem Informasi Internal pada Sekolah Bisnis – Institut Pertanian Bogor dengan metode TOGAF-ADM,"Irman Hermadi, S.Kom, MS, P.hD","activity diagram, architecture framework, class diagram, enterprise architecture, information system, information system architecture, modelling language, process, system architecture, uml, unified modelling language, use case diagram, meningkatkan, proses bisnis, pengumpulan data, fungsi, sistem informasi, arsitektur sistem informasi, data terintegrasi, proses, arsitektur sistem",G6401211010
Riset Pengguna Web Mata Kuliah Desain Pengalaman Pengguna Untuk Mendukung Kegiatan Pembelajaran Berbasis Proyek,"Auzi Asfarian, S.Komp., M.Kom.","desain pengalaman, interaksi manusiakomputer, proses, pemikiran, pengalaman pengguna",G6401211010
Pengembangan Modul Pelaksanaan dan Pemantauan Tugas Akhir pada Sistem Informasi Manajemen Tugas Akhir,"Dean Apriana Ramadhan, S.Kom., M.Kom.","software, software development, ilmu komputer, fungsi, sistem informasi, sistem informasi manajemen",G6401211010
Sistem Manajemen Basis Data Patroli Pencegahan Karhutla Wilayah Sumatra,"Prof. Dr. Imas Sukaesih Sitanggang, S.Si, M.Kom","economics, mobile web, prototyping, sistem akuisisi, komunikasi, ilmu komputer, visualisasi data, manajemen basis data, proses pengembangan, sistem informasi, proses, model relasional, sistem arsitektur, visualisasi",G6401211011
Perancangan Arsitektur Sistem Informasi Patroli Pencegahan Kebakaran Hutan dan Lahan (SIPP Karhutla) Menggunakan TOGAF ADM,"Dr. Hendra Rahmawan, S.Kom, M.Kom","architecture framework, bpmn, business process, business process model, business process modeling, class diagram, information system, process, process modeling, requirements management, system architectures, use case diagram, model arsitektur, pengumpulan data, proses pengembangan, ekonomi, perangkat keras, kualitas informasi, sistem informasi, arsitektur sistem informasi, teknologi informasi, proses, kepuasan, kualitas layanan, perangkat lunak, arsitektur sistem, kualitas sistem",G6401211011
Riset Pengguna Web Mata Kuliah Desain Pengalaman Pengguna Untuk Mendukung Kegiatan Pembelajaran Berbasis Proyek,"Auzi Asfarian, S.Komp., M.Kom.","desain pengalaman, interaksi manusiakomputer, proses, pemikiran, pengalaman pengguna",G6401211011
Analisis dan Perancangan Arsitektur Sistem Informasi Internal pada Sekolah Bisnis – Institut Pertanian Bogor dengan metode TOGAF-ADM,"Irman Hermadi, S.Kom, MS, P.hD","activity diagram, architecture framework, class diagram, enterprise architecture, information system, information system architecture, modelling language, process, system architecture, uml, unified modelling language, use case diagram, meningkatkan, proses bisnis, pengumpulan data, fungsi, sistem informasi, arsitektur sistem informasi, data terintegrasi, proses, arsitektur sistem",G6401211011
"Sistem Informasi Jamu pada Serat Centhini, Buku Jampi dan Kitab Tibb.","Prof. Dr. Eng. Wisnu Ananta Kusuma, ST, MT","class diagram, modeling language, php, prototyping, sql, tes, uml, unified modeling language, komunikasi, keanekaragaman, sistem informasi, pengujian sistem",G6401211011
Sistem Manajemen Basis Data Patroli Pencegahan Karhutla Wilayah Sumatra,"Prof. Dr. Imas Sukaesih Sitanggang, S.Si, M.Kom","economics, mobile web, prototyping, sistem akuisisi, komunikasi, ilmu komputer, visualisasi data, manajemen basis data, proses pengembangan, sistem informasi, proses, model relasional, sistem arsitektur, visualisasi",G6401211012
Perancangan Arsitektur Sistem Informasi Patroli Pencegahan Kebakaran Hutan dan Lahan (SIPP Karhutla) Menggunakan TOGAF ADM,"Dr. Hendra Rahmawan, S.Kom, M.Kom","architecture framework, bpmn, business process, business process model, business process modeling, class diagram, information system, process, process modeling, requirements management, system architectures, use case diagram, model arsitektur, pengumpulan data, proses pengembangan, ekonomi, perangkat keras, kualitas informasi, sistem informasi, arsitektur sistem informasi, teknologi informasi, proses, kepuasan, kualitas layanan, perangkat lunak, arsitektur sistem, kualitas sistem",G6401211012
Analisis dan Perancangan Arsitektur Sistem Informasi Internal pada Sekolah Bisnis – Institut Pertanian Bogor dengan metode TOGAF-ADM,"Irman Hermadi, S.Kom, MS, P.hD","activity diagram, architecture framework, class diagram, enterprise architecture, information system, information system architecture, modelling language, process, system architecture, uml, unified modelling language, use case diagram, meningkatkan, proses bisnis, pengumpulan data, fungsi, sistem informasi, arsitektur sistem informasi, data terintegrasi, proses, arsitektur sistem",G6401211012
Penerapan Scrum dengan Game-Based Retrospective: Starfish dalam Pengembangan Aplikasi Zikirin,"Firman Ardiansyah, S.Kom., M.Si.","process, scrum, software, software development, menjawab pertanyaan, perangkat lunak kolaboratif, proses pengembangan, proses, perangkat lunak, pengembangan perangkat lunak",G6401211012
Pengembangan Modul Back-End Sistem Informasi Manajemen Unit Laboratorium Pusat Studi Biofarmaka Tropika,"Prof. Dr. Eng. Wisnu Ananta Kusuma, ST, MT","prototyping, sistem informasi, sistem informasi manajemen, proses",G6401211012
Clustering Interaksi antar Protein dan Fungsi Molekuler Menggunakan Graf Fuzzy K-partite,"Prof. Dr. Eng. Wisnu Ananta Kusuma, ST, MT","clustering, database, meningkatkan, pembentukan sel, hasil pengelompokan, pengumpulan data, fungsi, proses, proses penemuan",G6401211013
Sistem Manajemen Basis Data Patroli Pencegahan Karhutla Wilayah Sumatra,"Prof. Dr. Imas Sukaesih Sitanggang, S.Si, M.Kom","economics, mobile web, prototyping, sistem akuisisi, komunikasi, ilmu komputer, visualisasi data, manajemen basis data, proses pengembangan, sistem informasi, proses, model relasional, sistem arsitektur, visualisasi",G6401211013
Perancangan dan Implementasi Modul Frontend Sistem Alumni Peduli Berbasis Web Menggunakan Pendekatan UX,"Dr. Yani Nurhadryani, S.Si, MT","meningkatkan, fungsi, kejelasan, proses",G6401211013
Perancangan Antarmuka Pengguna Web Mata Kuliah Interaksi Manusia Komputer untuk Mendukung Kegiatan Pembelajaran Berbasis Proyek,"Auzi Asfarian, S.Komp., M.Kom.","desain pengalaman, antarmuka pengguna grafis, proses, pengalaman pengguna, antarmuka pengguna",G6401211013
Pengembangan Modul Pelaksanaan dan Pemantauan Tugas Akhir pada Sistem Informasi Manajemen Tugas Akhir,"Dean Apriana Ramadhan, S.Kom., M.Kom.","software, software development, ilmu komputer, fungsi, sistem informasi, sistem informasi manajemen",G6401211013
Perancangan dan Implementasi Modul Frontend Sistem Alumni Peduli Berbasis Web Menggunakan Pendekatan UX,"Dr. Yani Nurhadryani, S.Si, MT","meningkatkan, fungsi, kejelasan, proses",G6401211014
Pengembangan Modul Pelaksanaan dan Pemantauan Tugas Akhir pada Sistem Informasi Manajemen Tugas Akhir,"Prof. Dr. Imas Sukaesih Sitanggang, S.Si, M.Kom","software, software development, ilmu komputer, fungsi, sistem informasi, sistem informasi manajemen",G6401211014
Clustering Interaksi antar Protein dan Fungsi Molekuler Menggunakan Graf Fuzzy K-partite,"Prof. Dr. Eng. Wisnu Ananta Kusuma, ST, MT","clustering, database, meningkatkan, pembentukan sel, hasil pengelompokan, pengumpulan data, fungsi, proses, proses penemuan",G6401211014
Pengembangan Business Trip Management Sytem Menggunakan Workflow Engine (Studi Kasus PT AMN Indonesia).,"Irman Hermadi, S.Kom, MS, P.hD","engine, prototyping, fungsi, teknologi informasi",G6401211014
Perancangan Arsitektur Sistem Informasi Patroli Pencegahan Kebakaran Hutan dan Lahan (SIPP Karhutla) Menggunakan TOGAF ADM,"Dr. Hendra Rahmawan, S.Kom, M.Kom","architecture framework, bpmn, business process, business process model, business process modeling, class diagram, information system, process, process modeling, requirements management, system architectures, use case diagram, model arsitektur, pengumpulan data, proses pengembangan, ekonomi, perangkat keras, kualitas informasi, sistem informasi, arsitektur sistem informasi, teknologi informasi, proses, kepuasan, kualitas layanan, perangkat lunak, arsitektur sistem, kualitas sistem",G6401211014
Sistem Manajemen Basis Data Patroli Pencegahan Karhutla Wilayah Sumatra,"Prof. Dr. Imas Sukaesih Sitanggang, S.Si, M.Kom","economics, mobile web, prototyping, sistem akuisisi, komunikasi, ilmu komputer, visualisasi data, manajemen basis data, proses pengembangan, sistem informasi, proses, model relasional, sistem arsitektur, visualisasi",G6401211015
Perancangan Arsitektur Sistem Informasi Patroli Pencegahan Kebakaran Hutan dan Lahan (SIPP Karhutla) Menggunakan TOGAF ADM,"Dr. Hendra Rahmawan, S.Kom, M.Kom","architecture framework, bpmn, business process, business process model, business process modeling, class diagram, information system, process, process modeling, requirements management, system architectures, use case diagram, model arsitektur, pengumpulan data, proses pengembangan, ekonomi, perangkat keras, kualitas informasi, sistem informasi, arsitektur sistem informasi, teknologi informasi, proses, kepuasan, kualitas layanan, perangkat lunak, arsitektur sistem, kualitas sistem",G6401211015
Analisis dan Perancangan Arsitektur Sistem Informasi Internal pada Sekolah Bisnis – Institut Pertanian Bogor dengan metode TOGAF-ADM,"Irman Hermadi, S.Kom, MS, P.hD","activity diagram, architecture framework, class diagram, enterprise architecture, information system, information system architecture, modelling language, process, system architecture, uml, unified modelling language, use case diagram, meningkatkan, proses bisnis, pengumpulan data, fungsi, sistem informasi, arsitektur sistem informasi, data terintegrasi, proses, arsitektur sistem",G6401211015
Riset Pengguna Web Mata Kuliah Desain Pengalaman Pengguna Untuk Mendukung Kegiatan Pembelajaran Berbasis Proyek,"Auzi Asfarian, S.Komp., M.Kom.","desain pengalaman, interaksi manusiakomputer, proses, pemikiran, pengalaman pengguna",G6401211015
Pengembangan Modul Pelaksanaan dan Pemantauan Tugas Akhir pada Sistem Informasi Manajemen Tugas Akhir,"Dean Apriana Ramadhan, S.Kom., M.Kom.","software, software development, ilmu komputer, fungsi, sistem informasi, sistem informasi manajemen",G6401211015
Clustering Interaksi antar Protein dan Fungsi Molekuler Menggunakan Graf Fuzzy K-partite,"Prof. Dr. Eng. Wisnu Ananta Kusuma, ST, MT","clustering, database, meningkatkan, pembentukan sel, hasil pengelompokan, pengumpulan data, fungsi, proses, proses penemuan",G6401211016
Perancangan dan Implementasi Modul Frontend Sistem Alumni Peduli Berbasis Web Menggunakan Pendekatan UX,"Dr. Yani Nurhadryani, S.Si, MT","meningkatkan, fungsi, kejelasan, proses",G6401211016
Pemetaan Daerah Rawan kebakaran di Lahan Gambut Berdasarkan Pola Sekuens Titik Panas di Kabupaten Pulang Pisau Kalimantan Tengah,"Prof. Dr. Imas Sukaesih Sitanggang, S.Si, M.Kom","cma, data mining, antara, keanekaragaman, ekonomi, fungsi, proses, menarik, validasi",G6401211016
Pengembangan Business Trip Management Sytem Menggunakan Workflow Engine (Studi Kasus PT AMN Indonesia).,"Irman Hermadi, S.Kom, MS, P.hD","engine, prototyping, fungsi, teknologi informasi",G6401211016
Analisis Jejaring Interaksi Protein-Protein untuk Mengidentifikasi Protein Penting Terkait Hiperinflamasi pada COVID-19,"Dr. Eng. Annisa, S.Kom, M.Kom","bipartite graph, centrality measure, clustering, jaringan biologis, seluler, fungsi, ontologi, proses, proses penemuan, topologi",G6401211016
Clustering Interaksi antar Protein dan Fungsi Molekuler Menggunakan Graf Fuzzy K-partite,"Prof. Dr. Eng. Wisnu Ananta Kusuma, ST, MT","clustering, database, meningkatkan, pembentukan sel, hasil pengelompokan, pengumpulan data, fungsi, proses, proses penemuan",G6401211017
Perancangan dan Implementasi Modul Frontend Sistem Alumni Peduli Berbasis Web Menggunakan Pendekatan UX,"Dr. Yani Nurhadryani, S.Si, MT","meningkatkan, fungsi, kejelasan, proses",G6401211017
Pemetaan Daerah Rawan kebakaran di Lahan Gambut Berdasarkan Pola Sekuens Titik Panas di Kabupaten Pulang Pisau Kalimantan Tengah,"Prof. Dr. Imas Sukaesih Sitanggang, S.Si, M.Kom","cma, data mining, antara, keanekaragaman, ekonomi, fungsi, proses, menarik, validasi",G6401211017
Pengembangan Business Trip Management Sytem Menggunakan Workflow Engine (Studi Kasus PT AMN Indonesia).,"Irman Hermadi, S.Kom, MS, P.hD","engine, prototyping, fungsi, teknologi informasi",G6401211017
Analisis Jejaring Interaksi Protein-Protein untuk Mengidentifikasi Protein Penting Terkait Hiperinflamasi pada COVID-19,"Dr. Eng. Annisa, S.Kom, M.Kom","bipartite graph, centrality measure, clustering, jaringan biologis, seluler, fungsi, ontologi, proses, proses penemuan, topologi",G6401211017
Clustering Interaksi antar Protein dan Fungsi Molekuler Menggunakan Graf Fuzzy K-partite,"Prof. Dr. Eng. Wisnu Ananta Kusuma, ST, MT","clustering, database, meningkatkan, pembentukan sel, hasil pengelompokan, pengumpulan data, fungsi, proses, proses penemuan",G6401211018
Perancangan dan Implementasi Modul Frontend Sistem Alumni Peduli Berbasis Web Menggunakan Pendekatan UX,"Dr. Yani Nurhadryani, S.Si, MT","meningkatkan, fungsi, kejelasan, proses",G6401211018
Pemetaan Daerah Rawan kebakaran di Lahan Gambut Berdasarkan Pola Sekuens Titik Panas di Kabupaten Pulang Pisau Kalimantan Tengah,"Prof. Dr. Imas Sukaesih Sitanggang, S.Si, M.Kom","cma, data mining, antara, keanekaragaman, ekonomi, fungsi, proses, menarik, validasi",G6401211018
Pengembangan Business Trip Management Sytem Menggunakan Workflow Engine (Studi Kasus PT AMN Indonesia).,"Irman Hermadi, S.Kom, MS, P.hD","engine, prototyping, fungsi, teknologi informasi",G6401211018
